SensorId;Date;Time;value
1;2015-25-05;00:00:00;62
1;2015-25-05;00:01:00;83
1;2015-25-05;00:02:00;17
1;2015-25-05;00:03:00;100
1;2015-25-05;00:04:00;64
1;2015-25-05;00:05:00;91
1;2015-25-05;00:06:00;67
1;2015-25-05;00:07:00;14
1;2015-25-05;00:08:00;72
1;2015-25-05;00:09:00;5
1;2015-25-05;00:10:00;82
1;2015-25-05;00:11:00;18
1;2015-25-05;00:12:00;38
1;2015-25-05;00:13:00;84
1;2015-25-05;00:14:00;74
1;2015-25-05;00:15:00;7
1;2015-25-05;00:16:00;38
1;2015-25-05;00:17:00;31
1;2015-25-05;00:18:00;24
1;2015-25-05;00:19:00;29
1;2015-25-05;00:20:00;99
1;2015-25-05;00:21:00;68
1;2015-25-05;00:22:00;46
1;2015-25-05;00:23:00;7
1;2015-26-05;00:00:00;19
1;2015-26-05;00:01:00;96
1;2015-26-05;00:02:00;17
1;2015-26-05;00:03:00;60
1;2015-26-05;00:04:00;58
1;2015-26-05;00:05:00;67
1;2015-26-05;00:06:00;88
1;2015-26-05;00:07:00;97
1;2015-26-05;00:08:00;59
1;2015-26-05;00:09:00;24
1;2015-26-05;00:10:00;63
1;2015-26-05;00:11:00;3
1;2015-26-05;00:12:00;24
1;2015-26-05;00:13:00;62
1;2015-26-05;00:14:00;56
1;2015-26-05;00:15:00;85
1;2015-26-05;00:16:00;66
1;2015-26-05;00:17:00;99
1;2015-26-05;00:18:00;14
1;2015-26-05;00:19:00;31
1;2015-26-05;00:20:00;74
1;2015-26-05;00:21:00;28
1;2015-26-05;00:22:00;55
1;2015-26-05;00:23:00;56
1;2015-25-05;00:00:00;26
2;2015-25-05;00:01:00;49
2;2015-25-05;00:02:00;89
2;2015-25-05;00:03:00;71
2;2015-25-05;00:04:00;72
2;2015-25-05;00:05:00;74
2;2015-25-05;00:06:00;42
2;2015-25-05;00:07:00;8
2;2015-25-05;00:08:00;32
2;2015-25-05;00:09:00;41
2;2015-25-05;00:10:00;45
2;2015-25-05;00:11:00;20
2;2015-25-05;00:12:00;53
2;2015-25-05;00:13:00;42
2;2015-25-05;00:14:00;66
2;2015-25-05;00:15:00;54
2;2015-25-05;00:16:00;29
2;2015-25-05;00:17:00;62
2;2015-25-05;00:18:00;53
2;2015-25-05;00:19:00;66
2;2015-25-05;00:20:00;20
2;2015-25-05;00:21:00;8
2;2015-25-05;00:22:00;34
2;2015-25-05;00:23:00;55
2;2015-26-05;00:00:00;49
2;2015-26-05;00:01:00;99
2;2015-26-05;00:02:00;88
2;2015-26-05;00:03:00;99
2;2015-26-05;00:04:00;63
2;2015-26-05;00:05:00;9
2;2015-26-05;00:06:00;90
2;2015-26-05;00:07:00;26
2;2015-26-05;00:08:00;60
2;2015-26-05;00:09:00;93
2;2015-26-05;00:10:00;1
2;2015-26-05;00:11:00;100
2;2015-26-05;00:12:00;0
2;2015-26-05;00:13:00;22
2;2015-26-05;00:14:00;94
2;2015-26-05;00:15:00;42
2;2015-26-05;00:16:00;10
2;2015-26-05;00:17:00;87
2;2015-26-05;00:18:00;1
2;2015-26-05;00:19:00;57
2;2015-26-05;00:20:00;61
2;2015-26-05;00:21:00;9
2;2015-26-05;00:22:00;13
2;2015-26-05;00:23:00;20
